Signal Legend:

Key        Signal Name

0        = GPIO[15..0]
1        = LEDR[0..0]
2        = LEDR[0]

Data Table:

Signals-> 0     1  2 

sample

-128      186   0h 0 
-127      0     0h 0 
-126      32640 0h 0 
-125      59944 0h 0 
-124      61732 0h 0 
-123      36792 0h 0 
-122      7781  0h 0 
-121      1250  0h 0 
-120      22908 0h 0 
-119      52576 0h 0 
-118      62985 0h 0 
-117      44526 0h 0 
-116      14210 0h 0 
-115      0     0h 0 
-114      14337 0h 0 
-113      44044 0h 0 
-112      61455 0h 0 
-111      50640 0h 0 
-110      21749 0h 0 
-109      1190  0h 0 
-108      7584  0h 0 
-107      34692 0h 0 
-106      57575 0h 0 
-105      54990 0h 0 
-104      29591 0h 0 
-103      4640  0h 0 
-102      2772  0h 0 
-101      25530 0h 0 
-100      51754 0h 0 
-99       57000 0h 0 
-98       37001 0h 0 
-97       9718  0h 0 
-96       450   0h 0 
-95       17024 0h 0 
-94       44377 0h 0 
-93       56610 0h 0 
-92       43316 0h 0 
-91       16060 0h 0 
-90       219   0h 0 
-89       10028 0h 0 
-88       36022 0h 0 
-87       54216 0h 0 
-86       47945 0h 0 
-85       23112 0h 0 
-84       2343  0h 0 
-83       4664  0h 0 
-82       27430 0h 0 
-81       49770 0h 0 
-80       50787 0h 0 
-79       29952 0h 0 
-78       6210  0h 0 
-77       1236  0h 0 
-76       19270 0h 0 
-75       43656 0h 0 
-74       51562 0h 0 
-73       36158 0h 0 
-72       11256 0h 0 
-71       0     0h 0 
-70       12139 0h 0 
-69       36432 0h 0 
-68       50235 0h 0 
-67       41160 0h 0 
-66       17355 0h 0 
-65       776   0h 0 
-64       6369  0h 0 
-63       28608 0h 0 
-62       46986 0h 0 
-61       44460 0h 0 
-60       23625 0h 0 
-59       3384  0h 0 
-58       2431  0h 0 
-57       21018 0h 0 
-56       41995 0h 0 
-55       46000 0h 0 
-54       29280 0h 0 
-53       7462  0h 0 
-52       362   0h 0 
-51       14040 0h 0 
-50       35800 0h 0 
-49       45390 0h 0 
-48       34338 0h 0 
-47       12496 0h 0 
-46       175   0h 0 
-45       8178  0h 0 
-44       29064 0h 0 
-43       43344 0h 0 
-42       37962 0h 0 
-41       17850 0h 0 
-40       1690  0h 0 
-39       3864  0h 0 
-38       22211 0h 0 
-37       39508 0h 0 
-36       39930 0h 0 
-35       23288 0h 0 
-34       4564  0h 0 
-33       1134  0h 0 
-32       15617 0h 0 
-31       34400 0h 0 
-30       40386 0h 0 
-29       27966 0h 0 
-28       8635  0h 0 
-27       0     0h 0 
-26       9765  0h 0 
-25       28644 0h 0 
-24       39015 0h 0 
-23       31616 0h 0 
-22       13137 0h 0 
-21       600   0h 0 
-20       5215  0h 0 
-19       22496 0h 0 
-18       36309 0h 0 
-17       34018 0h 0 
-16       17690 0h 0 
-15       2448  0h 0 
-14       2002  0h 0 
-13       16472 0h 0 
-12       32148 0h 0 
-11       34860 0h 0 
-10       21962 0h 0 
-9        5520  0h 0 
-8        274   0h 0 
-7        10880 0h 0 
-6        27270 0h 0 
-5        34170 0h 0 
-4        25536 0h 0 
-3        9108  0h 0 
-2        131   0h 0 
-1        6370  0h 0 
0         21930 1h 1 
1         32256 0h 0 
2         27940 0h 0 
3         12978 0h 0 
4         1125  0h 0 
5         2976  0h 0 
6         16605 0h 0 
7         29158 0h 0 
8         29161 0h 0 
9         16680 0h 0 
10        3213  0h 0 
11        826   0h 0 
12        11583 0h 0 
13        25172 0h 0 
14        29095 0h 0 
15        19836 0h 0 
16        5989  0h 0 
17        0     0h 0 
18        7215  0h 0 
19        20680 0h 0 
20        27795 0h 0 
21        22248 0h 0 
22        9095  0h 0 
23        318   0h 0 
24        3780  0h 0 
25        16016 0h 0 
26        25441 0h 0 
27        23562 0h 0 
28        12120 0h 0 
29        1600  0h 0 
30        1485  0h 0 
31        11564 0h 0 
32        22310 0h 0 
33        23808 0h 0 
34        14820 0h 0 
35        3572  0h 0 
36        279   0h 0 
37        7636  0h 0 
38        18564 0h 0 
39        22950 0h 0 
40        16910 0h 0 
41        5896  0h 0 
42        0     0h 0 
43        4386  0h 0 
44        14620 0h 0 
45        21252 0h 0 
46        18177 0h 0 
47        8282  0h 0 
48        648   0h 0 
49        2000  0h 0 
50        10823 0h 0 
51        18720 0h 0 
52        18480 0h 0 
53        10412 0h 0 
54        1875  0h 0 
55        592   0h 0 
56        7373  0h 0 
57        15768 0h 0 
58        17963 0h 0 
59        12040 0h 0 
60        3519  0h 0 
61        0     0h 0 
62        4489  0h 0 
63        12540 0h 0 
64        16575 0h 0 
65        13056 0h 0 
66        5229  0h 0 
67        186   0h 0 
68        2318  0h 0 
69        9360  0h 0 
70        14632 0h 0 
71        13340 0h 0 
72        6726  0h 0 
73        840   0h 0 
74        880   0h 0 
75        6480  0h 0 
76        12243 0h 0 
77        12844 0h 0 
78        7854  0h 0 
79        1800  0h 0 
80        147   0h 0 
81        4080  0h 0 
82        9682  0h 0 
83        11730 0h 0 
84        8460  0h 0 
85        2860  0h 0 
86        0     0h 0 
87        2226  0h 0 
88        7134  0h 0 
89        10120 0h 0 
90        8463  0h 0 
91        3762  0h 0 
92        259   0h 0 
93        972   0h 0 
94        4865  0h 0 
95        8194  0h 0 
96        7887  0h 0 
97        4320  0h 0 
98        744   0h 0 
99        270   0h 0 
100       2987  0h 0 
101       6160  0h 0 
102       6804  0h 0 
103       4420  0h 0 
104       1225  0h 0 
105       24    0h 0 
106       1587  0h 0 
107       4224  0h 0 
108       5355  0h 0 
109       4040  0h 0 
110       1520  0h 0 
111       36    0h 0 
112       680   0h 0 
113       2528  0h 0 
114       3735  0h 0 
115       3192  0h 0 
116       1508  0h 0 
117       168   0h 0 
118       187   0h 0 
119       1220  0h 0 
120       2097  0h 0 
121       1976  0h 0 
122       1064  0h 0 
123       210   0h 0 
124       20    0h 0 
125       348   0h 0 
126       624   0h 0 
127       510   0h 0 
